OBJECTID *,A.T. Region Acronym,Trail Club Acronym,Campsite Name,Status,In FMSS?,FMSS Name,FMSS Location ID *,GIS ID,Type of Campsite,Number of Sites,Number of 8x8 Tentsites,Number of Constructed Tent Pads,Predominant Tent Pad Perimeter Material,Number of Constructed Tent Platforms,Predominant Tent Platform Deck Material,Number of Metal Fire Rings,Number of Mortared Fire Rings,Number of Food Boxes,Number of Food Cables,Number of Food Poles,Number of Metal Storage Boxes,Number of Plastic Storage Boxes,Number of Wooden Storage Boxes,Number of Bulletin Boards/Kiosks,Number of Directional/Wayfinding Signs,Number of Educational/Interpretative Signs,Number of Identification/Entrance Signs,Number of Regulatory/Safety Signs,Number of Bollards,Number of Boulders,Number of Cattle Guards,Number of Gates,Number of Stiles,Number of Fences,Total Fence Length Feet,Predominant Fence Material,Photos Taken?,Year Built,Comments,FMSS Quantity,Description,FBMS ID,Optimizer Band,Asset Priority Index,Historic Status,State,County,A.T. Region,Congressional District,Trail_Club,Northern Maintainer Boundary,Southern Maintainer Boundary,A.T. Maintainer Section,Wilderness Area,Ownership,Latitude,Longitude,Maximum PDOP,Maximum HDOP,Correction Type,Receiver Type,GPS Date,GPS Time,Update Status,Feature Name,Datafile,Unfiltered Positions,Filtered Positions,Data Dictionary,GPS Week,GNSS Height,Vertical Precision,Horizontal Precision,Standard Deviation,Point X,Point Y,GFID,Source,Version,Publish?,Creator,Creation Date,Editor,Edit Date,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,GlobalID *,Shape *
44,NERO,DOC,Beaver Brook Shelter Campsite,Official A.T. Campsite,Yes,DOC Beaver Brook Shelter Campsite,250524,NA,Designated Campsite,4,3,0,None,1,Dimensional Lumber,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1980,,0.006703,DOC Beaver Brook Shelter Campsite,IB14001000208620001475,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Dartmouth Outing Club,NH Rte. 112,Carriage Rd (Glencliff Tr.),NH Rte. 112 to Carriage Rd (Glencliff Tr.),N,FEDERAL FEE - USFS WHITE MTN NF,44.03286861,-71.81133836,2.2,1,Uncorrected,Geo 7x,9/3/2015,2:08:56 PM,New,Campsit2,File Not Specified,30,30,AT 2015 Inventory,1860,1113.27,31.1,21.3,1.62649,-71.811338,44.032869,{3c57530d-7ae3-456c-beb8-0c17a79405ac},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1cG7eGwDtwbYLogCfWAyeOnYGzbCckfEn/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1KAeGLXQq7cSgJCkA6f543CX-63eOiufz/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1kMeKCiD9_Dob86JQZSnFifXzOJdIE16F/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1YwPyr3vXeKpGGua5UDPw3kAuD6uBJoon/view?usp=drivesdk,,,,,,,{973e0012-ba5a-420e-a647-dcf765d30192},Point
45,NERO,MATC,Rainbow Spring Campsite,Official A.T. Campsite,Yes,MATC Rainbow Spring Campsite,244690,NA,Designated Campsite,4,0,4,Stone,0,None,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,None,Yes,1971,,0.005877,MATC Rainbow Spring Campsite,IB14001000208620001509,1,100,N,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,Rainbow Mt. Side Trail,Rainbow Lake Dam Side Trail,Rainbow Mt. Side Trail to Rainbow Lake Dam Side Trail,N,STATE EASEMENT - STATE OF MAINE - OWNER = THE NATURE CONSERVANCY,45.82295826,-69.13612618,2.5,1.1,Uncorrected,GeoXT 6000,8/26/2016,7:04:30 AM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1911,300.791,26.3,16.9,1.190461,-69.136126,45.822958,{26f4071b-7cce-434b-9369-dd892c516066},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1qwlE1eSvbnyC6n9rZ1JhhxPS6WybvrcP/view?usp=drivesdk,,,,,,,,,,{5f317ef3-5a2c-497b-b692-2d0bacd24f30},Point
46,NERO,AMC-CT,Ball Brook Group Campsite,Official A.T. Campsite,Yes,AMC-CT Ball Brook Group Campsite,250509,CS33,Designated Groupsite,8,8,0,None,0,None,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,None,Yes,1985,,0.011754,AMC-CT Ball Brook Group Campsite,IB14001000208620001461,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Umt. Tr. Junction,Route 41,Umt. Tr. Junction to Route 41,N,FEDERAL FEE - NPS APPA,42.02030142,-73.45262457,2.3,1.3,Uncorrected,Geo 7x,10/21/2015,12:05:52 PM,New,Campsite,File Not Specified,29,29,AT 2015 Inventory,1867,499.527,22.4,18.6,2.722006,-73.452625,42.020301,{23b7fae9-0b1e-4635-a85c-c83e7dca82a9},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1ck-ju-ahqhR7Npv3Mawaf06do1m12F_n/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1FhndGxHL8JjTHJdFvwy6HBBcwH5WLufU/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1tgnfJOVRZJPFLyDJCboKdTa8pIQP7qyj/view?usp=drivesdk,,,,,,,,{b114ebd8-3bf0-43d3-bf32-d750de65864d},Point
47,NERO,AMC-WMA,Sage's Ravine Campsite,Official A.T. Campsite,Yes,AMC-WMA Sage's Ravine Campsite,250498,CS191,Designated Campsite,9,0,5,Stone,4,Dimensional Lumber,0,0,0,0,0,1,0,0,0,0,0,10,2,0,0,0,0,0,0,0,None,Yes,2002,,0.016529,AMC-WMA Sage's Ravine Campsite,IB14001000208620001453,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Race Mtn summit,stream in Sages Ravine,Race Mtn summit to stream in Sages Ravine,N,STATE FEE - STATE OF MASSACHUSETTS - DEM - MT EVERETT STATE RESERVATION,42.05419237,-73.45233793,3,1.3,Uncorrected,Geo 7x,10/19/2015,1:44:24 PM,New,Campsite,File Not Specified,33,33,AT 2015 Inventory,1867,458.232,32,21.5,4.279553,-73.452338,42.054192,{0e0a0004-48be-44a6-9e34-11d9603d3e8a},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1w8hnOjXqHhY_RDx1jqcC0YvY-g95ZCXl/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/12LIEV8VcXZufmprvr0FbOQiQ_FwuWJRu/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/15FAKiFvVO6pgB-jdkkamdki1Uot6pUxk/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1MWoXFCCgMLoIumSk_FhWuAtyp91MvhLI/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1dcXlQHhobYhwZ56ltvIim8nxUM2TSb9t/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1F0_SVoGxVumdbZCO6ku6vS9suZWgTKR_/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1ZPiwtyVGvH0dqLm11ZPcfiPM9T9lMv1s/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1-xL82wsyaN2uT58tYUmaAxelqMq55Zx1/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1cm6_doPDk0NOz8ojSc-xkY7AqQ5bCdfG/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/15xg1TLOd1DfJFfaqaXSdWqGTKAIZnJm8/view?usp=drivesdk,{c588f150-ec90-4bfb-9bbe-2ba9d13f17c9},Point
48,NERO,GMC,Stratton View Campsite,Official A.T. Campsite,Yes,GMC Stratton View Campsite,250538,NA,Designated Campsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1999,,0.004408,GMC Stratton View Campsite,IB14001000208620001487,1,100,N,Vermont,WINDHAM,New England,Congressional District (at Large),Green Mountain Club,Mad tom Notch,Arlington-West Wardsboro Rd.,Mad tom Notch to Arlington-West Wardsboro Rd.,N,FEDERAL FEE - USFS GREEN MTN NF,43.10614179,-72.97211171,1.2,0.7,Uncorrected,Geo 7x,9/15/2015,4:33:21 PM,New,Campsite,File Not Specified,36,36,AT 2015 Inventory,1862,762.447,14.7,11.9,1.486762,-72.972112,43.106142,{e71566fb-342b-448a-89ce-6cf16fce8720},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1qs0vmCrpfQWWDtmSUdY97uoTUZmTOEA0/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/124c7OOFbtglltxLXqT6_tuJPBVwybOrp/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1CpmQTZ09K-4HGqeTfeK3vbRZB83Hywt5/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1u2DiUdd9H4WDFnBLDyy-NHRBHEpqkql9/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1YcSBFyhH8mol7PiSxOgm4gFSyQ-DTnlY/view?usp=drivesdk,,,,,,{0f3d2f3a-d122-4eff-af63-4eb317f824a7},Point
49,NERO,MATC,Little Bigelow Lean-to Campsite,Official A.T. Campsite,Yes,MATC Little Bigelow Lean-to Campsite,250548,NA,Designated Campsite,4,2,0,None,2,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1986,,0.00753,MATC Little Bigelow Lean-to Campsite,IB14001000208620001497,1,100,N,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,East Flagstaff Rd.,Summit of Little Bigelow,East Flagstaff Rd. to Summit of Little Bigelow,N,STATE FEE - STATE OF MAINE - BIGELOW PRESERVE,45.13916009,-70.19094634,2.7,1.9,Postprocessed Code,GeoXT 6000,6/28/2017,9:03:42 AM,New,Campsite,File Not Specified,35,35,AT 2015 Inventory,1955,521.608,2.2,1.6,5.223363,-70.190946,45.13916,{bcf8455a-8b51-42f2-9f6a-8c19fc29ab90},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/11PSqEKT8cxjnu6ABnoORdaIbGR7Y4pWW/view?usp=drivesdk,https://drive.google.com/file/d/1VxoS4rylVWrKZplqE4rKjtm6PQrNVMTd/view?usp=drivesdk,https://drive.google.com/file/d/1cSQiJehJ41NquF46uC9xPA452xx7ACcc/view?usp=drivesdk,https://drive.google.com/file/d/1wi7Hr8zCmAFyLrGBRNr4spqihHX-RhRd/view?usp=drivesdk,,,,,,,{84c41f2e-e357-4fa7-9d5f-4a6497043c94},Point
50,NERO,MATC,Sidney Tappan Campsite,Official A.T. Campsite,Yes,MATC Sidney Tappan Campsite,244693,NA,Designated Campsite,7,7,0,None,0,None,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,None,Yes,1985,,0.010285,MATC Sidney Tappan Campsite,IB14001000208620001511,1,100,N,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,Summit of West Peak,Summit of Gulf Hagas Mtn,Summit of West Peak to Summit of Gulf Hagas Mtn,N,FEDERAL FEE - NPS APPA,45.54462148,-69.30707107,3.6,2,Uncorrected,GeoXT 6000,9/1/2016,10:02:40 AM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1912,711.215,24.7,21.8,4.652156,-69.307071,45.544621,{c116a82d-b485-4277-91ea-d4698fc2d7ed},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1gbrEw3tnp2CZIA1Pfub3JQat5OzCDjH2/view?usp=drivesdk,,,,,,,,,,{190eda84-8687-42fc-8bac-d5cdea2b109a},Point
51,NERO,AMC,Osgood Tentsite Group Campsite,Official A.T. Campsite,Yes,AMC Osgood Tentsite Group Campsite,244708,NA,Designated Groupsite,5,0,0,None,5,None,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,None,Yes,2000,,0.011478,AMC Osgood Tentsite Group Campsite,IB14001000208620001523,1,100,N,New Hampshire,COOS,New England,Congressional District 2,Appalachian Mountain Club,Great Gulf Tr.,Osgood Cutoff,Great Gulf Tr. to Osgood Cutoff,N,FEDERAL FEE - USFS WHITE MTN NF,44.30863927,-71.25446926,1.7,0.9,Uncorrected,Geo 7x,8/2/2016,2:28:23 PM,New,Campsite,File Not Specified,49,49,AT 2015 Inventory,1908,735.619,22,12.1,1.751225,-71.254469,44.308639,{62bb1624-957b-45ae-841d-1df86ba0cc11},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/15BKgY5GuNMkkNUzkf8jwIyrZQA32vbva/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1WxOamrKj2vTvhkaVVeDDKge9V28cmzex/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1vdJ0I_RhZV0hkW9GZE1g4KEbRMEZ7jaO/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1fS_lhKVC4EmNLmAO6bvQWM9UZvdc1DC5/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/117t3r70VimmrRzL8pNdOGgwO28MsCRqW/view?usp=drivesdk,,,,,,{45b7bc3e-0e89-4168-b221-bd1405164afa},Point
52,NERO,AMC-CT,Silver Hill Group Campsite,Official A.T. Campsite,Yes,AMC-CT Silver Hill Group Campsite,250519,CS39,Designated Groupsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,None,Yes,1980,,0.008815,AMC-CT Silver Hill Group Campsite,IB14001000208620001470,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Route 4,Swifts Bridge,Route 4 to Swifts Bridge,N,FEDERAL FEE - NPS APPA,41.81543763,-73.38950307,2,1,Uncorrected,Geo 7x,10/20/2015,4:06:49 PM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1867,242.456,26.7,15,1.075563,-73.389503,41.815438,{9d0f1b2f-4b03-4beb-ac34-6afbe6520ef3},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/113UyvHNGxrSBmYN86NeYzNX_kWbEMpp8/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1tSVVNo9kgqTO3g0V1Qb9IioOb_H3Pnhy/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1wedJOxIsm6fhCggyh5nK4wBrnA5g0cfm/view?usp=drivesdk,,,,,,,,{40ae51ea-87b3-44da-a0e3-8118f279ac36},Point
53,NERO,AMC-WMA,Laurel Ridge Group Campsite,Official A.T. Campsite,Yes,AMC-WMA Laurel Ridge Group Campsite,250493,CS211,Designated Groupsite,3,0,0,None,3,Dimensional Lumber,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,2001,Need to Confirm to status,0.006887,AMC-WMA Laurel Ridge Group Campsite,IB14001000208620001448,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Race Mtn summit,stream in Sages Ravine,Race Mtn summit to stream in Sages Ravine,N,STATE FEE - STATE OF MASSACHUSETTS - DEM - MT EVERETT STATE RESERVATION,42.06117276,-73.43785997,2.3,1.3,Uncorrected,Geo 7x,10/19/2015,12:13:27 PM,New,Campsite,File Not Specified,33,33,AT 2015 Inventory,1867,472.325,26.8,24.8,3.109213,-73.43786,42.061173,{3548fd06-f8a7-4acd-8def-69474a817dab},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1vnSXoy1y1UcCN5yulnrpljjtpwLQe5aw/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1_lr737e7FAwv27EXMRBrP8BLWYRmVial/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1-u3LKn-1ZBdHAFqIN_PBuWt2fcwovBS2/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1oX_qamElpQZKy365qITCsnW3sX1jpRcv/view?usp=drivesdk,,,,,,,{14798391-d3f1-4917-99fb-14337598145e},Point
54,NERO,AMC-CT,Ten Mile River Campsite,Official A.T. Campsite,Yes,AMC-CT Ten Mile River Campsite,250523,CS203,Designated Campsite,10,10,0,None,0,None,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,None,Yes,1996,,0.014692,AMC-CT Ten Mile River Campsite,IB14001000208620001474,1,100,N,Connecticut,FAIRFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Bulls Bridge,Hoyt Road,Bulls Bridge to Hoyt Road,N,FEDERAL FEE - NPS APPA,41.66531508,-73.50740048,2.8,1.3,Uncorrected,Geo 7x,10/20/2015,11:31:04 AM,New,Campsite,File Not Specified,67,67,AT 2015 Inventory,1867,58.554,28.2,22,10.149531,-73.5074,41.665315,{9f195306-6b7d-4432-9a0b-9a07b2b41989},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1F0PCeBoCPngEIZqOplfs-oynHFYqaZ_s/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1ukEphIwMuL0LsOOKvqE9J5CW4IVYOFBh/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1kwTm5bRgOd2fTPE2FlFHEoxLLjH3nZP2/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1NhLZToMMCTmO7v2hQI1hD2B8Nx8LjcOe/view?usp=drivesdk,,,,,,,{7190f057-cdab-4c22-92ae-0f73c0295b01},Point
55,NERO,MATC,Sabbath Day Pond Lean-to Group Campsite,Official A.T. Campsite,Yes,MATC Sabbath Day Pond Lean-to Group Campsite,250556,CS714,Designated Groupsite,6,5,0,None,1,None,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,None,Yes,1993,One tent platform removed and replaced in 2022,0.009642,MATC Sabbath Day Pond Lean-to Group Campsite,IB14001000208620001504,1,100,N,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,Unnamed High Point,Sabbath Day Pond Lean-to,Unnamed High Point to Sabbath Day Pond Lean-to,N,STATE FEE - STATE OF MAINE,44.84090395,-70.66211241,4.7,1.4,Uncorrected,Geo 7x,8/31/2016,9:31:16 AM,New,Campsite,File Not Specified,54,54,AT 2015 Inventory,1912,717.956,32.2,17.7,3.888847,-70.662112,44.840904,{53267ae0-fa5e-4f04-afd4-5ced9a0ddc6e},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,2/7/2023 6:30:02 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1xrP-Z3-zrBJuVJlM8Px45Mkw8V07leMu/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1FsmGGKBi7kIGbq_v-NgQ1obOTToNf39y/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1jCA_e_uXAporJyi7lWqZqBITM94QcvOz/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1gzwKOadxjhetVXmmDfdB3RxEZYlyK4Uj/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1JsJfIVAikj4J5t0DzEEf4dNP51K1zjRX/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1v0TMHmc9XAJW_dDcgUlMp2sCSX05NcU8/view?usp=drivesdk,,,,,{0dac5aa1-3eba-4bdc-a770-f2a0c62143a0},Point
56,NERO,AMC,Guyot Shelter Campsite,Official A.T. Campsite,Yes,AMC Guyot Shelter Campsite,244711,NA,Designated Campsite,7,0,0,None,7,Dimensional Lumber,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1977,,0.01607,AMC Guyot Shelter Campsite,IB14001000208620001525,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Appalachian Mountain Club,Twinway Jct Zeacliff Trail,Zealand Mt. Spur,Twinway Jct Zeacliff Trail to Zealand Mt. Spur,N,FEDERAL FEE - USFS WHITE MTN NF,44.16118271,-71.53479975,2.6,1.4,Uncorrected,Geo 7x,9/29/2015,11:58:34 AM,New,Campsite,File Not Specified,28,28,AT 2015 Inventory,1864,1243.291,47.9,24.3,4.618351,-71.5348,44.161183,{61c9341f-1401-4924-9e4e-9d8c5b77773a},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1zBUWUS5GeKoKV-NNApO82W_YHkPFbRlS/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1ymMkW8NIFIKAdRiE2s-MM2aGlKEJnybs/view?usp=drivesdk,,,,,,,,,{6d8ffa18-2145-4120-8902-7acd98f14d0b},Point
57,NERO,DOC,Moose Mtn Shelter Campsite,Official A.T. Campsite,Yes,DOC Moose Mtn Shelter Campsite,250527,NA,Designated Campsite,2,2,0,None,0,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,2004,,0.002938,DOC Moose Mtn Shelter Campsite,IB14001000208620001477,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Dartmouth Outing Club,Wolfeboro Road,3 Mile Road,Wolfeboro Road to 3 Mile Road,N,FEDERAL FEE - USFS WHITE MTN NF,43.72789088,-72.14960751,1.5,0.9,Uncorrected,Geo 7x,8/28/2015,10:51:05 AM,New,Campsit2,File Not Specified,31,31,AT 2015 Inventory,1859,608.606,24.9,13.3,1.575959,-72.149608,43.727891,{2b0aa01b-6e14-4fe3-a1ad-268d8fbacefa},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1ijOhqxy_ICj47vhHjc5RGElWiEHbz_Ro/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1nTy8CPEVdQ7aNsUrhBJtUdLrlIQie99P/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1oAoYHCqd78bVtG1QonEFCAJWVFH69rF1/view?usp=drivesdk,,,,,,,,{51df2d2a-11de-4828-a57a-9e4093e56fa1},Point
58,NERO,GMC,Stratton Pond Shelter Campsite,Official A.T. Campsite,Yes,GMC Stratton Pond Shelter Campsite,250537,NA,Designated Campsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,None,Yes,1999,,0.004408,GMC Stratton Pond Shelter Campsite,IB14001000208620001485,1,100,N,Vermont,WINDHAM,New England,Congressional District (at Large),Green Mountain Club,Mad tom Notch,Arlington-West Wardsboro Rd.,Mad tom Notch to Arlington-West Wardsboro Rd.,N,FEDERAL FEE - USFS GREEN MTN NF,43.10017146,-72.96371312,1.5,0.8,Uncorrected,Geo 7x,9/15/2015,3:13:21 PM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1862,790.378,20.6,14.8,2.56271,-72.963713,43.100171,{737f6028-2d3b-48a4-9ef4-678fbea5d9cd},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1G5eep49Pu3ONiOJm9WRwrFtbeFn8BeXe/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1o-fwVmTM0ZC_GaXnyq5srPT-h2L0020H/view?usp=drivesdk,,,,,,,,,{f413f0be-1607-4160-8c25-e83dc73dd9b5},Point
59,NERO,AMC-CT,Pine Swamp Brook Shelter Group Campsite,Official A.T. Campsite,Yes,AMC-CT Pine Swamp Brook Shelter Group Campsite,250516,CS560,Designated Groupsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,None,Yes,1989,,0.008815,AMC-CT Pine Swamp Brook Shelter Group Campsite,IB14001000208620001467,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Sharon Mountain Road,West Cornwall Rd,Sharon Mountain Road to West Cornwall Rd,N,FEDERAL FEE - NPS APPA,41.88103689,-73.39122304,1.3,0.7,Uncorrected,Geo 7x,10/27/2015,2:09:10 PM,New,Campsite,File Not Specified,33,33,AT 2015 Inventory,1868,300.603,15.7,12.8,4.668446,-73.391223,41.881037,{2730ae3b-b069-475e-acfe-c40ffea659fe},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1CuKoYykTlRyjbb7EWL-h-8Fvu17D5ard/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1filp5OWQC1vxOZywvwkHwo7588bKSkbk/view?usp=drivesdk,,,,,,,,,{6486dfe5-9d70-4f5b-bb43-64664b11e19d},Point
